,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"39,219",-8%,38%,6%,-74%,1.4,"-234,401",41.6,0.01%,6, ,5, ,-5.0900%,-9.0400%,-0.0200%,-1.1800%,5.1500%, ,-0.0004%, , 
01_rank, , ,155, , , , ,120,115,158,93,94,129,124, ,168,97,120,27,35,113,158,167
02,169,"1,520",-9%,1%,15%,-99%,7.1,"-625,812",1.6,0.00%,3, ,3, ,-6.2000%,-12.6800%,-0.6500%,-5.8200%,12.9500%, ,0.0000%, , 
02_rank, , ,149, , , , ,125,157,168,132,136,136,138, ,163,101,156,9,148,87,169,77
03,148,"13,357",39%,13%,2%,-77%,0.8,"-90,872",14.2,0.00%,1, ,1, ,56.4300%,-3.5400%,1.6300%,13.9200%,44.4200%, ,0.0006%, , 
03_rank, , ,4, , , , ,70,83,119,148,147,138,142, ,101,40,3,2,148,49,108,132
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"8,535",54%,8%,11%,-96%,0.0,"-486,002",9.1,0.00%,2, ,2, ,103.3500%,107.4100%,0.8200%,0.4900%,-5.3700%, ,0.0001%, , 
05_rank, , ,4, , , , ,66,116,142,134,136,137,132, ,7,20,48,144,40,51,143,149
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , 
14_rank, , , , , , , , , , , , , , , , , , , , , , , 
