,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"3,175",4%,0%,6%,-90%,0.9,"-63,824",2.6,0.00%,3, ,2, ,4.8700%,-6.9500%,-1.2900%,-0.8100%,13.9200%, ,0.0000%, , 
01_rank, , ,61, , , , ,100,170,176,153,158,160,162, ,164,141,114,14,175,101,169,175
02, , , , , , , , , , , , , , , , , , , , , , , 
02_rank, , , , , , , , , , , , , , , , , , , , , , , 
03,148,"279,119",16%,6%,1%,86%,1.4,"258,463",228.5,0.08%,2, ,1, ,17.2000%,7.5700%,3.7800%,3.4100%,2.4300%, ,0.0078%, , 
03_rank, , ,11, , , , ,30,24,67,135,134,144,140, ,19,10,20,30,11,22,44,1
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"262,735",-7%,5%,6%,56%,1.0,"189,800",215.1,0.01%,1, ,2, ,-3.8800%,11.5500%,0.7900%,-9.0000%,-7.2300%, ,-0.0007%, , 
05_rank, , ,105, , , , ,23,55,90,157,157,140,137, ,21,22,147,148,87,97,27,2
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08,150,"5,734",-19%,0%,12%,-91%,0.2,"-127,555",4.7,0.00%,5, ,2, ,-10.9300%,-10.2400%,-0.7700%,-4.2100%,4.2900%, ,-0.0001%, , 
08_rank, , ,126, , , , ,31,100,136,133,132,133,132, ,129,82,139,25,30,87,88,131
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"2,349",-68%,0%,21%,-97%,0.5,"-229,251",1.9,0.00%,6, ,5, ,-19.8200%,-19.7600%,11.7100%,-26.8600%,15.1000%, ,-0.0030%, , 
11_rank, , ,149, , , , ,46,115,145,82,81,75,92, ,148,2,149,8,32,123,129,140
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14,165,"4,029,813",-27%,87%,0%,99%,1.1,"4,020,532","3,299.1",0.21%,2, ,9, ,-9.1900%,-10.9200%,2.4500%,-1.9300%,1.2100%, ,-0.0364%, , 
14_rank, , ,147, , , , ,28,13,62,135,131,40,29, ,149,93,116,50,12,151,23,81
