,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"6,072",0%,2%,4%,-33%,1.3,"-6,015",1.3,0.00%,4, ,2, ,1.1500%,6.0300%,-2.9500%,4.9900%,-6.9100%, ,0.0000%, , 
01_rank, , ,92, , , , ,85,175,174,133,170,161,173, ,47,162,34,160,6,102,114,49
02, , , , , , , , , , , , , , , , , , , , , , , 
02_rank, , , , , , , , , , , , , , , , , , , , , , , 
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12,127,"1,607",-5%,0%,1%,-29%,0.7,"-1,348",0.3,0.00%,1, ,1, ,-5.2500%,-2.9000%,-5.8000%,-0.1100%,3.5600%, ,0.0000%, , 
12_rank, , ,93, , , , ,44,119,124,126,125,119,124, ,84,120,81,6,64,50,57,24
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14,165,"278,093",123%,95%,0%,98%,0.0,"276,082",58.1,0.01%,2, ,2, ,967.8800%,462.8600%,15.1000%,-6.2100%,496.1300%, ,0.0029%, , 
14_rank, , ,1, , , , ,51,107,116,106,118,142,139, ,1,8,147,2,164,56,53,82
