,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"2,214,770",-1%,84%,6%,33%,0.8,"1,110,966",21.6,0.30%,6, ,15, ,0.1000%,-1.2000%,0.5400%,1.6600%,-0.9000%, ,0.0003%, , 
01_rank, , ,102, , , , ,35,140,57,91,89,18,18, ,120,66,67,100,146,91,32,111
02,169,"41,895",9%,1%,7%,-93%,1.9,"-1,162,619",0.4,0.01%,6, ,12, ,9.9100%,3.6300%,0.8800%,3.2500%,2.1500%, ,0.0004%, , 
02_rank, , ,26, , , , ,137,164,140,98,99,41,37, ,50,32,31,41,67,66,162,161
03,148,"1,282",-28%,0%,1%,-99%,3.3,"-265,174",0.0,0.00%,1, ,1, ,-14.7600%,-6.1200%,-4.9000%,-4.9700%,1.2300%, ,-0.0002%, , 
03_rank, , ,146, , , , ,99,147,147,145,146,143,146, ,118,142,142,46,32,82,147,148
04,131,"24,238",-2%,0%,1%,-84%,0.9,"-262,187",0.2,0.01%,12, ,6, ,-1.5300%,0.0300%,-1.1500%,-0.5100%,0.1000%, ,-0.0001%, , 
04_rank, , ,60, , , , ,74,124,95,58,75,66,71, ,58,82,77,61,16,49,104,117
05,157,"4,535",-6%,0%,14%,-99%,0.8,"-2,353,077",0.0,0.00%,6, ,8, ,-3.3400%,0.0500%,-0.3400%,-6.1900%,3.1400%, ,0.0000%, , 
05_rank, , ,103, , , , ,117,156,150,103,117,75,90, ,73,89,139,36,4,69,157,157
06,127,"107,351",2%,4%,0%,-2%,1.0,"-6,491",1.0,0.05%,4, ,5, ,-0.4300%,24.7900%,0.1200%,-8.2200%,-17.1200%, ,-0.0002%, , 
06_rank, , ,44, , , , ,28,103,64,86,86,61,59, ,14,64,115,116,22,52,27,83
07,152,"15,924",62%,0%,13%,-98%,1.5,"-2,258,416",0.2,0.00%,4, ,4, ,145.6400%,168.3200%,0.0800%,12.0000%,-34.7600%, ,0.0002%, , 
07_rank, , ,5, , , , ,128,150,136,116,120,112,117, ,5,66,4,148,51,54,151,151
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12,127,"56,908",10%,2%,2%,-73%,1.2,"-308,549",0.6,0.01%,21, ,3, ,7.5500%,10.1500%,0.6000%,-0.0400%,-3.1800%, ,0.0007%, , 
12_rank, , ,18, , , , ,85,117,92,50,56,86,86, ,17,60,80,95,27,35,89,41
13,160,"3,707",6%,0%,4%,-98%,1.3,"-694,646",0.0,0.00%,10, ,10, ,5.5900%,3.7100%,-0.1800%,1.7500%,0.3100%, ,0.0000%, , 
13_rank, , ,40, , , , ,120,159,150,84,113,36,43, ,50,89,34,67,9,76,158,75
14,165,"15,900",-10%,0%,8%,-97%,1.3,"-1,438,079",0.2,0.00%,2, ,3, ,5.1200%,-0.6000%,10.0000%,51.0000%,-55.2800%, ,0.0000%, , 
14_rank, , ,57, , , , ,119,162,154,103,105,116,117, ,71,21,3,161,138,88,163,164
