,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"19,992",23%,21%,16%,-51%,0.7,"-42,940",9.8,0.00%,5, ,3, ,28.8300%,44.2000%,3.2500%,12.9000%,-31.5200%, ,0.0003%, , 
01_rank, , ,10, , , , ,97,158,167,96,107,150,149, ,8,12,3,171,61,90,135,56
02,169,"43,600",15%,46%,26%,-40%,0.4,"-58,912",21.4,0.01%,10, ,2, ,17.0200%,-1.8300%,-0.1000%,0.7700%,18.1900%, ,0.0005%, , 
02_rank, , ,16, , , , ,69,118,136,71,81,159,159, ,118,73,65,7,33,63,87,39
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04,131,"8,124",-38%,8%,2%,-16%,0.4,"-3,295",4.0,0.00%,1, ,3, ,-17.1900%,-0.3700%,2.7400%,-20.1400%,0.5700%, ,-0.0034%, , 
04_rank, , ,128, , , , ,22,92,113,130,130,102,113, ,60,6,130,50,108,91,36,21
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , 
14_rank, , , , , , , , , , , , , , , , , , , , , , , 
