,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"3,021,994",4%,28%,8%,50%,1.0,"2,037,344",107.1,0.41%,2, ,10, ,5.6500%,2.8700%,0.6700%,3.0700%,-0.9600%, ,0.0182%, , 
01_rank, , ,58, , , , ,23,78,43,162,159,51,54, ,74,61,51,103,107,20,37,99
02,169,"225,930",-1%,2%,6%,-52%,0.8,"-498,509",8.0,0.03%,7, ,9, ,-0.3800%,2.3000%,-1.4700%,-4.6900%,3.4900%, ,-0.0001%, , 
02_rank, , ,90, , , , ,116,131,106,92,91,65,64, ,60,121,150,33,36,96,116,141
03,148,"492,154",6%,4%,3%,9%,1.3,"88,839",17.4,0.15%,2, ,2, ,6.0100%,-7.3100%,-2.0700%,-1.8400%,17.2200%, ,0.0069%, , 
03_rank, , ,24, , , , ,34,78,56,132,129,133,128, ,125,126,125,4,103,25,45,93
04,131,"13,266",-4%,0%,1%,-85%,0.4,"-160,732",0.5,0.00%,3, ,9, ,-2.8400%,10.7200%,2.8600%,-11.4700%,-4.9400%, ,-0.0002%, , 
04_rank, , ,80, , , , ,63,119,105,114,114,48,55, ,10,5,127,117,40,51,103,119
05,157,"411,819",11%,3%,12%,-53%,0.6,"-954,992",14.6,0.02%,4, ,3, ,13.7100%,-9.1400%,-0.8800%,5.5000%,18.2200%, ,0.0018%, , 
05_rank, , ,18, , , , ,93,110,82,117,115,126,120, ,135,117,5,6,10,30,83,36
06,127,"1,446",-34%,0%,0%,-95%,1.0,"-55,886",0.1,0.00%,6, ,5, ,-16.7200%,-11.4200%,-5.9800%,-10.7800%,11.4600%, ,-0.0007%, , 
06_rank, , ,121, , , , ,56,126,123,75,78,67,73, ,119,123,119,6,26,61,118,125
07,152,"139,351",-10%,1%,15%,-85%,1.9,"-1,656,610",4.9,0.01%,7, ,8, ,-4.4200%,-1.2400%,-1.5700%,-4.5400%,2.9200%, ,-0.0007%, , 
07_rank, , ,110, , , , ,120,124,104,95,94,56,56, ,95,114,130,28,46,93,131,56
08,150,"75,165",-15%,0%,14%,-91%,0.4,"-1,589,691",2.7,0.01%,3, ,2, ,-8.5800%,-11.0300%,-0.2000%,-5.6200%,8.2700%, ,-0.0008%, , 
08_rank, , ,118, , , , ,113,109,82,142,142,135,131, ,130,68,144,14,48,116,124,127
09,121,"7,862",4%,0%,2%,-93%,0.9,"-243,960",0.3,0.00%,1, ,1, ,4.8000%,5.5200%,-1.4000%,4.5500%,-3.8700%, ,0.0000%, , 
09_rank, , ,29, , , , ,49,107,94,117,117,119,118, ,35,84,15,89,36,47,87,34
10,134,"2,784",-34%,0%,5%,-99%,0.8,"-590,986",0.1,0.00%,3, ,2, ,-16.5200%,-16.3200%,-1.3400%,-2.9000%,4.0300%, ,-0.0002%, , 
10_rank, , ,131, , , , ,93,130,124,109,108,108,110, ,131,78,117,21,72,73,133,65
11,150,"9,968",-19%,0%,15%,-98%,0.2,"-1,761,128",0.4,0.00%,6, ,6, ,-11.7300%,-7.4000%,-1.0100%,11.4000%,-14.7200%, ,-0.0002%, , 
11_rank, , ,121, , , , ,108,136,123,79,78,59,62, ,111,82,10,125,24,82,149,146
12,127,"1,968",11%,0%,0%,-94%,1.0,"-74,684",0.1,0.00%,2, ,5, ,8.3300%,3.0800%,6.4100%,10.1300%,-11.2900%, ,0.0000%, , 
12_rank, , ,15, , , , ,60,125,121,123,123,61,70, ,37,6,3,119,47,45,118,54
13,160,"280,562",28%,2%,10%,-61%,1.2,"-905,933",9.9,0.02%,2, ,1, ,35.2100%,3.6100%,8.8400%,-7.3300%,30.0800%, ,0.0027%, , 
13_rank, , ,10, , , , ,124,103,76,154,151,155,154, ,53,1,147,2,27,28,91,30
14,165,"1,540,416",-24%,14%,2%,72%,0.4,"1,297,747",54.6,0.08%,2, ,3, ,-6.9800%,-9.2500%,2.8800%,-6.0200%,5.4100%, ,-0.0088%, , 
14_rank, , ,141, , , , ,42,110,82,122,117,130,129, ,141,84,146,30,95,136,45,15
