,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"219,664",-8%,10%,10%,-23%,1.4,"-133,343",17.7,0.03%,8, ,9, ,-5.2600%,-3.8400%,0.2900%,-17.5500%,15.8400%, ,-0.0022%, , 
01_rank, , ,157, , , , ,115,148,120,74,76,71,77, ,155,81,176,10,15,127,108,141
02,169,"11,851",30%,0%,9%,-92%,0.5,"-303,574",1.0,0.00%,3, ,3, ,39.3100%,27.9200%,0.1100%,1.8600%,9.4200%, ,0.0002%, , 
02_rank, , ,8, , , , ,99,162,153,135,137,140,139, ,13,62,45,14,27,74,152,65
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08,150,"4,387",-46%,0%,9%,-97%,0.0,"-297,858",0.4,0.00%,11, ,6, ,-18.2300%,-17.8900%,0.0300%,-8.4700%,8.1000%, ,-0.0006%, , 
08_rank, , ,147, , , , ,53,136,140,107,114,85,94, ,147,61,148,15,43,111,129,142
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"55,892",35%,2%,10%,-71%,0.1,"-276,113",4.5,0.00%,1, ,1, ,45.0300%,161.0200%,-1.0500%,-0.4300%,-114.5100%, ,0.0005%, , 
11_rank, , ,14, , , , ,50,102,88,148,148,148,147, ,10,83,90,145,47,45,64,22
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"1,881",-63%,0%,6%,-98%,0.6,"-216,935",0.2,0.00%,19, ,7, ,-19.6600%,-19.6200%,1.6800%,-13.4100%,11.7000%, ,-0.0016%, , 
13_rank, , ,160, , , , ,80,155,155,50,56,66,72, ,160,27,157,14,88,122,155,76
14,165,"1,390,399",53%,63%,12%,53%,0.8,"970,787",112.2,0.07%,1, ,4, ,201.4800%,31.6700%,-5.6300%,4.2300%,171.2200%, ,0.0134%, , 
14_rank, , ,5, , , , ,45,96,87,138,133,108,116, ,15,161,36,4,55,25,47,16
