,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"239,067",-6%,25%,1%,20%,1.1,"79,757",51.8,0.03%,2, ,5, ,-3.7700%,6.2000%,1.2800%,-4.8300%,-6.4200%, ,-0.0015%, , 
01_rank, , ,148, , , , ,70,103,117,157,149,128,127, ,46,33,156,156,163,124,74,29
02, , , , , , , , , , , , , , , , , , , , , , , 
02_rank, , , , , , , , , , , , , , , , , , , , , , , 
03,148,"32,938",-17%,3%,0%,31%,1.6,"15,909",7.1,0.01%,2, ,1, ,-10.4300%,-13.5000%,2.5200%,3.3300%,-2.7700%, ,-0.0022%, , 
03_rank, , ,132, , , , ,41,99,103,137,137,139,139, ,145,22,21,120,2,108,48,78
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"1,257",-17%,0%,1%,-98%,0.0,"-156,237",0.3,0.00%,6, ,5, ,-8.7800%,-7.1600%,-0.4500%,2.2500%,-3.4200%, ,0.0000%, , 
07_rank, , ,131, , , , ,58,147,152,100,105,98,120, ,128,90,34,121,10,76,148,152
08,150,"7,469",3%,0%,2%,-94%,0.9,"-250,337",1.6,0.00%,22, ,5, ,5.5100%,12.5000%,-1.0200%,-5.0300%,-0.9500%, ,0.0000%, , 
08_rank, , ,27, , , , ,47,115,131,62,62,97,95, ,24,89,141,83,16,63,110,45
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10,134,"3,460",30%,0%,0%,-88%,1.0,"-52,078",0.7,0.00%,9, ,5, ,35.4000%,33.6300%,0.2900%,34.2600%,-32.7900%, ,0.0000%, , 
10_rank, , ,9, , , , ,34,111,121,61,60,72,87, ,9,35,1,133,28,42,91,43
11,150,"265,736",-2%,28%,65%,-91%,0.9,"-5,954,864",57.6,0.02%,2, ,2, ,-2.3400%,11.2800%,2.0800%,-4.5200%,-11.1700%, ,-0.0004%, , 
11_rank, , ,78, , , , ,135,64,67,136,131,129,123, ,36,32,132,119,145,99,122,47
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"33,446",85%,3%,0%,-45%,0.7,"-55,327",7.2,0.00%,1, ,1, ,216.8600%,1.7300%,0.1800%,-2.5800%,217.5300%, ,0.0005%, , 
13_rank, , ,1, , , , ,41,113,111,159,157,158,157, ,68,81,137,1,38,48,56,118
14,165,"198,590",-19%,21%,3%,-29%,0.8,"-169,419",43.0,0.01%,3, ,8, ,-3.1600%,-0.8600%,4.4800%,-1.4100%,-5.3800%, ,-0.0004%, , 
14_rank, , ,116, , , , ,76,115,123,75,74,47,53, ,77,67,103,135,33,109,80,128
