,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"811,057",25%,35%,6%,62%,1.0,"624,509",32.6,0.11%,4, ,7, ,31.8100%,5.2200%,2.6600%,9.9900%,13.9300%, ,0.0136%, , 
01_rank, , ,7, , , , ,40,124,79,130,124,88,88, ,52,17,8,13,140,24,53,85
02,169,"219,543",6%,9%,11%,-21%,0.9,"-119,868",8.8,0.03%,5, ,3, ,6.1500%,2.4800%,-0.4900%,3.4000%,0.7600%, ,0.0014%, , 
02_rank, , ,33, , , , ,77,127,108,113,110,145,143, ,58,96,28,66,100,53,68,116
03,148,"14,279",2%,0%,2%,-67%,1.3,"-59,371",0.6,0.00%,3, ,5, ,2.1200%,18.1700%,-2.7500%,0.1000%,-13.4000%, ,0.0001%, , 
03_rank, , ,43, , , , ,63,134,118,126,126,80,87, ,7,132,79,143,55,63,94,129
04,131,"49,524",6%,2%,12%,-75%,1.6,"-308,900",2.0,0.02%,11, ,2, ,6.0300%,15.7800%,-8.3300%,6.3600%,-7.7900%, ,0.0008%, , 
04_rank, , ,17, , , , ,79,101,83,62,65,111,109, ,6,129,4,126,31,28,90,50
05,157,"26,118",38%,1%,12%,-86%,1.3,"-343,617",1.0,0.00%,2, ,8, ,59.3700%,143.9800%,-0.4600%,3.0000%,-87.1600%, ,0.0002%, , 
05_rank, , ,9, , , , ,55,137,127,137,134,79,79, ,4,99,18,156,146,43,116,139
06,127,"6,810",-22%,0%,0%,-55%,2.6,"-16,979",0.3,0.00%,4, ,1, ,-13.5400%,-12.1400%,-0.2500%,8.0500%,-9.2000%, ,-0.0014%, , 
06_rank, , ,112, , , , ,39,116,111,87,90,124,123, ,120,73,6,107,116,70,64,38
07,152,"487,539",58%,21%,8%,33%,0.7,"245,299",19.6,0.04%,1, ,7, ,131.6700%,143.4200%,-0.3900%,8.3700%,-19.7300%, ,0.0074%, , 
07_rank, , ,6, , , , ,31,99,78,146,144,68,69, ,6,88,10,145,28,25,37,3
08,150,"20,726",12%,0%,7%,-82%,0.7,"-199,635",0.8,0.00%,13, ,4, ,15.3800%,18.6500%,-0.7600%,10.0900%,-12.6000%, ,0.0001%, , 
08_rank, , ,17, , , , ,39,130,107,97,93,110,110, ,18,81,6,142,53,53,70,26
09,121,"3,027",20%,0%,2%,-91%,0.4,"-63,616",0.1,0.00%,13, ,3, ,24.6100%,26.3700%,-0.9300%,3.1000%,-3.9300%, ,0.0000%, , 
09_rank, , ,11, , , , ,22,112,108,21,22,101,100, ,13,74,25,91,111,46,63,102
10,134,"3,613",8%,0%,2%,-91%,0.3,"-74,898",0.1,0.00%,12, ,4, ,6.5300%,17.1900%,-1.5800%,25.0500%,-34.1200%, ,0.0000%, , 
10_rank, , ,24, , , , ,41,126,119,50,49,97,98, ,15,81,2,134,7,46,98,47
11,150,"6,063",0%,0%,6%,-93%,0.5,"-183,935",0.2,0.00%,13, ,9, ,-0.3600%,43.7800%,-0.5200%,19.8600%,-63.4900%, ,0.0000%, , 
11_rank, , ,66, , , , ,42,141,135,22,24,38,54, ,22,76,8,137,64,63,105,130
12,127,"468,665",11%,20%,1%,87%,1.7,"437,876",18.8,0.10%,18, ,5, ,8.2800%,12.2600%,-0.1100%,-1.3500%,-2.5200%, ,0.0060%, , 
12_rank, , ,16, , , , ,28,76,59,59,59,63,61, ,13,84,104,90,78,18,28,66
13,160,"40,283",4%,1%,5%,-61%,0.9,"-130,130",1.6,0.00%,11, ,3, ,3.8900%,20.8000%,0.7700%,-1.8400%,-15.8500%, ,0.0001%, , 
13_rank, , ,52, , , , ,60,130,106,79,76,129,127, ,17,62,125,154,53,65,77,131
14,165,"160,749",-12%,7%,19%,-55%,1.6,"-404,650",6.5,0.01%,5, ,9, ,3.8800%,3.4700%,6.0200%,-0.4300%,-5.1800%, ,0.0003%, , 
14_rank, , ,63, , , , ,89,147,128,30,35,39,36, ,45,50,88,134,120,80,116,147
