,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"231,685",17%,10%,14%,-47%,1.8,"-424,134",183.4,0.03%,6, ,10, ,21.0400%,9.7400%,0.1100%,7.1500%,4.0400%, ,0.0033%, , 
01_rank, , ,15, , , , ,126,55,118,88,90,52,66, ,30,92,18,31,156,55,136,154
02,169,"579,875",-4%,26%,12%,1%,1.5,"16,175",459.0,0.08%,4, ,9, ,-3.1700%,1.3000%,-0.1100%,-2.8500%,-1.5100%, ,-0.0030%, , 
02_rank, , ,125, , , , ,52,28,81,126,121,62,60, ,69,74,137,131,71,129,42,22
03,148,"9,645",-10%,0%,2%,-83%,1.3,"-98,423",7.6,0.00%,11, ,4, ,-7.1800%,-7.2900%,1.6100%,2.0100%,-3.5100%, ,-0.0003%, , 
03_rank, , ,124, , , , ,73,96,123,48,48,96,95, ,124,41,35,124,48,85,125,47
04,131,"102,983",0%,4%,5%,-39%,1.1,"-136,883",81.5,0.04%,19, ,3, ,0.7800%,-2.8000%,0.3300%,3.4000%,-0.1400%, ,0.0003%, , 
04_rank, , ,37, , , , ,59,26,74,40,41,104,99, ,87,37,13,70,55,33,47,97
05,157,"94,787",4%,4%,9%,-65%,1.2,"-357,505",75.0,0.01%,6, ,4, ,5.4600%,9.0500%,0.4300%,2.5700%,-6.6000%, ,0.0002%, , 
05_rank, , ,27, , , , ,56,72,110,95,93,106,103, ,23,32,21,147,144,41,84,133
06,127,"21,433",8%,0%,1%,-48%,2.0,"-40,168",17.0,0.01%,9, ,3, ,5.1600%,15.1900%,-0.0400%,-1.2200%,-8.7800%, ,0.0004%, , 
06_rank, , ,18, , , , ,49,49,89,48,45,91,88, ,18,69,72,105,110,33,63,103
07,152,"14,498",-19%,0%,6%,-91%,1.2,"-296,297",11.5,0.00%,17, ,4, ,-9.8700%,-5.6400%,0.6100%,-0.1300%,-4.7100%, ,-0.0002%, , 
07_rank, , ,134, , , , ,72,115,137,53,53,99,96, ,121,48,77,125,128,80,132,62
08,150,"17,419",-14%,0%,6%,-88%,2.7,"-269,401",13.8,0.00%,24, ,5, ,-8.4800%,-9.6400%,-0.2000%,1.8300%,-0.4700%, ,-0.0002%, , 
08_rank, , ,117, , , , ,48,82,112,57,57,99,98, ,126,67,33,79,143,94,91,38
09,121,"119,313",62%,5%,7%,-48%,0.9,"-221,765",94.4,0.01%,2, ,4, ,127.0300%,119.5300%,0.3200%,1.0100%,6.1800%, ,0.0019%, , 
09_rank, , ,4, , , , ,47,41,62,115,115,80,77, ,5,39,61,10,85,25,38,75
10,134,"16,241",-9%,0%,3%,-81%,0.9,"-147,255",12.9,0.00%,12, ,5, ,-7.3400%,-1.1000%,1.6400%,-7.3100%,-0.5600%, ,-0.0001%, , 
10_rank, , ,105, , , , ,55,85,104,52,52,76,76, ,81,9,131,79,105,67,90,44
11,150,"19,978",26%,0%,7%,-89%,1.4,"-349,884",15.8,0.00%,3, ,3, ,30.4800%,184.4400%,1.5000%,3.8400%,-159.3100%, ,0.0001%, , 
11_rank, , ,16, , , , ,58,84,108,128,123,122,117, ,9,44,29,148,22,53,96,32
12,127,"665,373",-5%,30%,1%,77%,1.7,"580,627",526.6,0.14%,9, ,6, ,-5.1500%,-3.9400%,0.2100%,-0.8600%,-0.5600%, ,-0.0100%, , 
12_rank, , ,91, , , , ,27,3,53,92,91,51,54, ,92,75,100,50,41,102,21,70
13,160,"174,067",-2%,7%,6%,-29%,2.0,"-148,101",137.8,0.01%,16, ,5, ,-1.4300%,-2.2200%,1.4000%,1.4700%,-2.0800%, ,-0.0002%, , 
13_rank, , ,95, , , , ,63,55,82,64,62,90,85, ,108,34,37,120,41,101,51,24
14,165,"114,798",7%,5%,15%,-72%,1.0,"-601,088",90.9,0.01%,2, ,4, ,33.3800%,4.1900%,5.2400%,19.8100%,4.1400%, ,0.0008%, , 
14_rank, , ,17, , , , ,94,101,136,111,109,114,110, ,42,53,7,32,36,73,135,55
