,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"780,503",-6%,16%,4%,47%,0.8,"504,500",314.8,0.11%,9, ,7, ,-3.6600%,-4.1100%,-0.2800%,-1.8700%,2.6000%, ,-0.0048%, , 
01_rank, , ,144, , , , ,42,37,82,62,61,92,95, ,156,113,133,47,58,143,40,107
02,169,"200,728",-15%,4%,9%,-51%,1.0,"-432,249",80.9,0.03%,9, ,4, ,-9.6500%,-2.2900%,-4.3800%,-3.5800%,0.6100%, ,-0.0051%, , 
02_rank, , ,158, , , , ,111,86,110,82,80,130,128, ,124,158,144,68,57,138,113,145
03,148,"45,878",0%,0%,2%,-56%,0.7,"-117,056",18.5,0.01%,5, ,6, ,0.7600%,0.4500%,-2.9700%,2.5300%,0.7600%, ,0.0001%, , 
03_rank, , ,61, , , , ,81,76,94,100,94,71,75, ,58,133,27,51,117,61,86,121
04,131,"4,636",-27%,0%,1%,-87%,0.5,"-66,838",1.9,0.00%,22, ,2, ,-14.4600%,-3.6300%,-9.1600%,1.4100%,-3.0800%, ,-0.0008%, , 
04_rank, , ,122, , , , ,39,102,122,31,43,123,120, ,96,130,24,112,118,70,99,66
05,157,"44,480",-26%,0%,10%,-87%,1.2,"-630,138",17.9,0.00%,4, ,4, ,-13.7200%,-1.1900%,-2.0000%,-12.9100%,2.3900%, ,-0.0010%, , 
05_rank, , ,145, , , , ,74,105,120,112,110,112,108, ,93,139,151,45,93,103,121,72
06,127,"20,938",0%,0%,1%,-52%,0.6,"-47,133",8.4,0.01%,3, ,3, ,-2.4300%,6.3000%,-4.3000%,-2.9600%,-1.4700%, ,-0.0003%, , 
06_rank, , ,60, , , , ,51,65,90,101,100,88,87, ,37,115,91,70,10,55,67,106
07,152,"722,418",7%,15%,11%,-2%,0.9,"-43,412",291.3,0.06%,5, ,4, ,12.5600%,27.6900%,-1.9300%,0.8800%,-14.0700%, ,0.0049%, , 
07_rank, , ,15, , , , ,38,41,70,107,104,104,104, ,13,118,53,144,116,30,38,93
08,150,"67,543",-21%,1%,7%,-76%,0.4,"-446,139",27.2,0.00%,18, ,2, ,-11.4600%,-7.9600%,-4.8900%,1.7800%,-0.3900%, ,-0.0013%, , 
08_rank, , ,127, , , , ,70,70,83,76,73,140,138, ,120,134,35,77,27,122,75,109
09,121,"7,851",-31%,0%,2%,-91%,0.8,"-176,601",3.2,0.00%,21, ,3, ,-15.2800%,-11.5900%,-7.7700%,-2.5700%,6.6400%, ,-0.0005%, , 
09_rank, , ,113, , , , ,39,76,95,4,4,100,99, ,108,115,109,7,13,86,78,106
10,134,"36,767",15%,0%,3%,-70%,0.8,"-173,038",14.8,0.00%,2, ,2, ,13.5200%,6.9300%,-7.4100%,5.0100%,8.9900%, ,0.0002%, , 
10_rank, , ,18, , , , ,61,79,94,119,116,113,114, ,27,130,6,9,26,33,80,36
11,150,"321,668",-2%,6%,15%,-52%,0.2,"-718,794",129.7,0.02%,3, ,4, ,-2.6500%,11.4000%,-10.0300%,-2.9500%,-1.0600%, ,-0.0006%, , 
11_rank, , ,81, , , , ,84,51,66,108,106,100,99, ,35,144,121,79,59,106,52,110
12,127,"1,857",-32%,0%,2%,-97%,0.5,"-167,772",0.7,0.00%,26, ,3, ,-16.1200%,-12.2900%,-6.3500%,2.5500%,-0.0300%, ,-0.0003%, , 
12_rank, , ,123, , , , ,76,115,122,41,46,88,87, ,121,122,24,32,56,59,125,57
13,160,"23,513",-30%,0%,6%,-89%,0.4,"-392,751",9.5,0.00%,17, ,5, ,-15.4000%,-11.6900%,-7.5000%,-1.3800%,5.1700%, ,-0.0012%, , 
13_rank, , ,151, , , , ,100,106,118,57,57,95,95, ,142,159,120,27,46,115,137,61
14,165,"2,255,663",-1%,46%,23%,16%,1.5,"648,496",909.6,0.12%,3, ,5, ,17.8000%,-2.0900%,2.6900%,13.3800%,3.8200%, ,0.0113%, , 
14_rank, , ,27, , , , ,47,34,77,93,90,86,82, ,95,88,13,36,116,28,34,104
