,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"160,462",-1%,17%,10%,-10%,0.2,"-35,832",7.8,0.02%,2, ,2, ,-0.2200%,8.3400%,-3.9100%,11.4100%,-16.0600%, ,0.0000%, , 
01_rank, , ,106, , , , ,95,161,128,166,162,159,157, ,33,170,4,168,57,107,96,132
02,169,"185,889",20%,20%,14%,-18%,0.7,"-86,553",9.0,0.03%,2, ,3, ,23.4500%,56.2800%,-0.8200%,-1.3200%,-30.7000%, ,0.0027%, , 
02_rank, , ,12, , , , ,72,126,112,162,155,141,141, ,7,107,116,166,11,43,67,32
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04,131,"29,088",-1%,3%,1%,11%,2.9,"5,973",1.4,0.01%,5, ,1, ,-0.6500%,7.2700%,2.2700%,-13.8400%,3.6500%, ,-0.0001%, , 
04_rank, , ,49, , , , ,19,107,90,94,98,129,127, ,19,8,128,24,2,45,31,76
05,157,"5,238",9%,0%,7%,-92%,0.2,"-137,221",0.3,0.00%,10, ,5, ,11.3400%,44.8700%,-0.3300%,-2.5100%,-30.6900%, ,0.0000%, , 
05_rank, , ,19, , , , ,37,151,147,70,82,102,131, ,8,88,108,154,45,59,120,147
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08,150,"7,177",-8%,0%,8%,-90%,0.4,"-144,728",0.3,0.00%,9, ,5, ,-4.4000%,7.2300%,0.1600%,-2.2800%,-9.5100%, ,0.0000%, , 
08_rank, , ,103, , , , ,32,137,133,110,119,102,121, ,35,57,119,136,2,74,86,125
09,121,"1,209",-15%,0%,3%,-96%,1.4,"-72,752",0.1,0.00%,3, ,2, ,-9.3100%,-8.5300%,-0.6900%,1.9200%,-2.0200%, ,0.0000%, , 
09_rank, , ,99, , , , ,25,119,120,101,103,107,119, ,101,72,42,68,114,62,88,47
10,134,"1,837",-1%,0%,3%,-93%,0.4,"-54,476",0.1,0.00%,3, ,2, ,-1.9400%,13.0000%,0.7600%,-8.5000%,-7.1900%, ,0.0000%, , 
10_rank, , ,64, , , , ,35,131,128,106,109,124,128, ,19,22,132,130,106,50,101,57
11,150,"36,187",54%,3%,30%,-87%,0.2,"-525,502",1.8,0.00%,3, ,3, ,91.8100%,77.7300%,-0.5300%,5.5600%,9.0400%, ,0.0004%, , 
11_rank, , ,9, , , , ,75,117,98,126,124,104,106, ,15,77,23,14,63,49,99,26
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"1,738",-5%,0%,5%,-96%,0.2,"-92,501",0.1,0.00%,16, ,7, ,-3.6000%,12.6000%,2.7200%,-7.6700%,-11.2500%, ,0.0000%, , 
13_rank, , ,114, , , , ,52,158,157,59,77,74,92, ,29,16,149,150,61,84,143,71
14,165,"451,760",17%,48%,4%,67%,1.1,"364,208",21.9,0.02%,2, ,2, ,55.8200%,9.3900%,20.8200%,-1.8900%,27.4900%, ,0.0035%, , 
14_rank, , ,14, , , , ,49,130,107,121,138,137,143, ,26,4,112,11,6,51,55,9
