,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"573,596",-56%,1%,6%,-58%,0.0,"-1,587,052",3.1,0.08%,4, ,7, ,-19.2300%,-18.7500%,-3.5500%,-10.6100%,13.6800%, ,-0.3914%, , 
01_rank, , ,177, , , , ,150,169,93,112,129,97,100, ,177,167,172,15,167,177,154,68
02,169,"262,736",-43%,0%,8%,-83%,0.0,"-2,582,348",1.4,0.04%,4, ,9, ,-17.9200%,-16.3000%,-0.4500%,-14.8300%,13.6700%, ,-0.0611%, , 
02_rank, , ,169, , , , ,156,159,102,120,135,64,74, ,169,95,169,8,53,165,149,159
03,148,"24,454",-5%,0%,1%,-92%,0.0,"-621,329",0.1,0.01%,7, ,5, ,-3.8100%,-8.1500%,-1.1000%,-5.0600%,10.4900%, ,-0.0003%, , 
03_rank, , ,104, , , , ,119,143,110,76,131,85,92, ,127,109,143,8,96,86,137,57
04,131,"26,152",-45%,0%,0%,-85%,0.0,"-304,659",0.1,0.01%,2, ,7, ,-18.1800%,-17.8500%,-0.5500%,-14.9300%,15.1600%, ,-0.0179%, , 
04_rank, , ,130, , , , ,77,127,93,121,131,58,80, ,130,68,129,3,17,118,111,121
05,157,"142,309",-21%,0%,12%,-93%,0.0,"-4,291,479",0.8,0.01%,4, ,7, ,-11.7000%,-12.1100%,-0.6600%,-5.5100%,6.5800%, ,-0.0021%, , 
05_rank, , ,141, , , , ,129,140,99,113,129,87,91, ,143,104,134,24,80,115,145,78
06,127,"50,742",-55%,0%,0%,-32%,0.0,"-47,909",0.3,0.02%,3, ,3, ,-19.2900%,-15.5500%,-1.5400%,-13.2900%,11.0800%, ,-0.1323%, , 
06_rank, , ,127, , , , ,52,117,76,99,125,85,121, ,123,93,123,7,4,124,52,95
07,152,"118,214",-35%,0%,6%,-89%,0.0,"-2,070,568",0.6,0.01%,8, ,9, ,-15.8800%,-15.8800%,-0.0600%,-4.1400%,4.2000%, ,-0.0080%, , 
07_rank, , ,150, , , , ,126,143,106,85,122,48,87, ,148,72,126,19,31,127,136,145
08,150,"14,055",-39%,0%,17%,-99%,0.0,"-6,146,246",0.1,0.00%,1, ,1, ,-17.0600%,-17.3100%,1.4800%,2.4000%,-3.6300%, ,-0.0012%, , 
08_rank, , ,145, , , , ,133,148,119,149,149,143,150, ,144,19,27,111,69,120,147,147
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"21,331",-34%,0%,3%,-96%,0.0,"-1,074,198",0.1,0.00%,3, ,6, ,-16.2300%,-17.4700%,-3.9800%,-9.3500%,14.5600%, ,-0.0014%, , 
13_rank, , ,154, , , , ,130,157,121,145,160,83,109, ,157,147,152,8,104,118,152,73
14,165,"31,719,193",-28%,96%,28%,52%,0.0,"21,709,421",170.5,1.68%,1, ,12, ,-9.4800%,-8.5100%,1.4100%,-1.8300%,-0.5500%, ,-0.3031%, , 
14_rank, , ,148, , , , ,15,82,19,145,145,13,19, ,135,114,111,76,61,164,13,102
