,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"179,585",-2%,28%,7%,12%,1.0,"39,157",15.1,0.02%,5, ,4, ,-0.4600%,3.9400%,-3.4300%,-4.4200%,3.4500%, ,-0.0001%, , 
01_rank, , ,111, , , , ,75,152,126,108,109,132,131, ,64,165,155,34,91,110,75,32
02,169,"76,291",12%,12%,11%,-46%,1.3,"-132,642",6.4,0.01%,9, ,1, ,13.1900%,30.7100%,-6.2000%,2.8100%,-14.1400%, ,0.0008%, , 
02_rank, , ,22, , , , ,78,139,128,78,77,161,162, ,11,168,34,160,18,57,96,43
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"8,839",25%,1%,14%,-93%,1.2,"-248,852",0.7,0.00%,6, ,2, ,33.6700%,35.8600%,-0.1800%,2.6500%,-4.6700%, ,0.0001%, , 
05_rank, , ,12, , , , ,46,141,141,97,96,150,150, ,10,80,20,141,65,55,131,144
06,127,"7,859",-3%,1%,1%,-48%,1.4,"-14,681",0.7,0.00%,6, ,3, ,-4.6100%,-2.5000%,1.5200%,-16.7400%,13.1000%, ,-0.0002%, , 
06_rank, , ,81, , , , ,36,109,108,70,67,86,84, ,85,22,127,3,31,51,56,100
07,152,"16,453",0%,2%,13%,-87%,1.5,"-228,511",1.4,0.00%,7, ,3, ,4.8100%,12.0700%,-7.1400%,-4.7800%,4.6600%, ,0.0001%, , 
07_rank, , ,36, , , , ,67,139,135,92,90,120,122, ,21,150,132,17,93,64,125,144
08,150,"16,569",55%,2%,9%,-82%,1.8,"-151,625",1.4,0.00%,28, ,4, ,108.3900%,87.1200%,-0.0300%,3.7100%,17.6000%, ,0.0002%, , 
08_rank, , ,3, , , , ,34,120,114,47,50,105,109, ,2,63,17,5,3,47,68,17
09,121,"6,238",50%,1%,8%,-92%,1.3,"-144,628",0.5,0.00%,6, ,7, ,86.7900%,102.5900%,1.4700%,8.9900%,-26.2700%, ,0.0001%, , 
09_rank, , ,5, , , , ,34,103,102,63,65,60,66, ,7,15,3,118,55,40,75,100
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"11,195",-23%,1%,7%,-85%,1.0,"-127,067",0.9,0.00%,6, ,5, ,-13.1300%,-11.6100%,-5.6900%,-5.5400%,9.7100%, ,-0.0003%, , 
11_rank, , ,124, , , , ,36,125,121,78,73,80,84, ,125,126,136,13,18,87,75,124
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"7,542",9%,1%,8%,-90%,1.1,"-146,581",0.6,0.00%,15, ,4, ,8.6600%,31.2800%,-2.8800%,-3.6900%,-16.0500%, ,0.0000%, , 
13_rank, , ,34, , , , ,61,140,137,68,66,109,114, ,10,131,139,155,100,73,127,153
14,165,"197,808",0%,31%,2%,60%,1.5,"149,651",16.6,0.01%,4, ,5, ,21.1700%,9.7800%,12.7500%,-15.4500%,14.1000%, ,0.0011%, , 
14_rank, , ,21, , , , ,54,137,124,45,42,83,80, ,24,14,157,25,49,70,42,13
