,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"221,887",157%,39%,16%,28%,0.8,"98,874","2,343.6",0.03%,3, ,5, ,919.9200%,947.5400%,1.8400%,7.7500%,-37.2100%, ,0.0060%, , 
01_rank, , ,1, , , , ,67,4,119,137,148,112,113, ,1,26,15,173,17,41,66,9
02,169,"281,268",-9%,49%,10%,56%,1.2,"203,561","2,970.8",0.04%,1, ,4, ,-6.1600%,-3.4900%,-0.4200%,-3.0500%,0.7900%, ,-0.0034%, , 
02_rank, , ,148, , , , ,40,3,100,168,165,126,121, ,136,93,139,64,19,132,55,81
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"2,914",-27%,0%,12%,-93%,0.0,"-90,509",30.8,0.00%,4, ,4, ,-14.6400%,-14.3600%,1.2400%,2.1700%,-3.6800%, ,-0.0001%, , 
11_rank, , ,128, , , , ,31,74,143,100,103,90,102, ,131,52,43,100,102,78,94,53
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"21,505",47%,3%,13%,-64%,1.0,"-77,894",227.1,0.00%,5, ,5, ,75.8700%,69.0500%,1.2800%,2.5200%,3.0200%, ,0.0003%, , 
13_rank, , ,4, , , , ,50,44,120,126,127,94,89, ,5,38,21,35,126,52,76,123
14,165,"14,324",-47%,2%,7%,-60%,0.5,"-43,629",151.3,0.00%,2, ,2, ,-16.8700%,-17.4600%,8.2300%,-27.8300%,20.2100%, ,-0.0008%, , 
14_rank, , ,161, , , , ,63,86,156,107,116,134,138, ,161,28,162,17,68,116,113,149
