,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"171,550",21%,36%,14%,10%,1.2,"32,356",23.2,0.02%,3, ,2, ,26.8600%,-1.6500%,0.2400%,4.1400%,24.1200%, ,0.0027%, , 
01_rank, , ,12, , , , ,77,135,127,155,155,162,161, ,128,82,40,3,44,58,83,18
02, , , , , , , , , , , , , , , , , , , , , , , 
02_rank, , , , , , , , , , , , , , , , , , , , , , , 
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05, , , , , , , , , , , , , , , , , , , , , , , 
05_rank, , , , , , , , , , , , , , , , , , , , , , , 
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08,150,"4,744",-31%,1%,9%,-90%,0.6,"-86,761",0.6,0.00%,7, ,3, ,-15.1800%,-12.5000%,-1.1800%,-4.1700%,2.6700%, ,-0.0002%, , 
08_rank, , ,139, , , , ,26,133,138,125,137,129,141, ,133,93,138,29,6,96,76,126
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"6,839",-42%,1%,9%,-86%,0.9,"-86,551",0.9,0.00%,3, ,5, ,-17.8100%,-17.9600%,2.2200%,-5.8100%,3.7400%, ,-0.0007%, , 
11_rank, , ,137, , , , ,29,127,133,127,126,83,100, ,141,29,138,31,80,109,71,37
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"1,528",-36%,0%,6%,-94%,1.4,"-56,572",0.2,0.00%,4, ,3, ,-16.7300%,-17.8200%,0.9000%,-0.9800%,1.1700%, ,-0.0001%, , 
13_rank, , ,156, , , , ,42,153,159,132,154,123,144, ,158,55,116,46,14,98,135,156
14, , , , , , , , , , , , , , , , , , , , , , , 
14_rank, , , , , , , , , , , , , , , , , , , , , , , 
