,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"535,640",7%,94%,22%,9%,0.8,"96,574",37.4,0.07%,4, ,2, ,7.8500%,-0.0500%,2.6900%,2.8400%,2.3700%, ,0.0041%, , 
01_rank, , ,46, , , , ,68,119,95,124,116,153,152, ,106,15,54,51,11,50,70,15
02,169,"14,594",52%,2%,32%,-95%,0.0,"-637,633",1.0,0.00%,3, ,3, ,91.3300%,57.9700%,1.7600%,-6.0700%,37.6700%, ,0.0003%, , 
02_rank, , ,4, , , , ,126,161,151,151,149,139,136, ,6,19,157,4,159,70,164,167
03, , , , , , , , , , , , , , , , , , , , , , , 
03_rank, , , , , , , , , , , , , , , , , , , , , , , 
04, , , , , , , , , , , , , , , , , , , , , , , 
04_rank, , , , , , , , , , , , , , , , , , , , , , , 
05,157,"1,621",-11%,0%,6%,-97%,0.6,"-117,836",0.1,0.00%,1, ,1, ,-6.5700%,-4.5900%,-1.2100%,-1.9200%,1.1500%, ,0.0000%, , 
05_rank, , ,122, , , , ,34,155,154,152,154,155,155, ,116,122,100,57,133,67,142,85
06,127,"2,244",-24%,0%,5%,-96%,0.5,"-110,522",0.2,0.00%,2, ,3, ,-14.1200%,-7.2000%,1.6500%,-11.6400%,3.0800%, ,-0.0005%, , 
06_rank, , ,114, , , , ,75,119,120,114,122,96,107, ,108,21,121,26,13,59,124,124
07, , , , , , , , , , , , , , , , , , , , , , , 
07_rank, , , , , , , , , , , , , , , , , , , , , , , 
08, , , , , , , , , , , , , , , , , , , , , , , 
08_rank, , , , , , , , , , , , , , , , , , , , , , , 
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , 
11_rank, , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , 
13_rank, , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , 
14_rank, , , , , , , , , , , , , , , , , , , , , , , 
