,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"81,604",-8%,11%,5%,-4%,0.4,"-8,080",10.7,0.01%,2, ,11, ,-5.1800%,-3.3300%,2.6700%,-4.0700%,-0.4500%, ,-0.0008%, , 
01_rank, , ,156, , , , ,86,155,144,160,156,46,64, ,150,16,152,91,13,118,89,129
02,169,"111,064",6%,15%,8%,-13%,3.0,"-33,324",14.6,0.02%,10, ,5, ,6.3900%,-0.9400%,0.0300%,3.0500%,4.2500%, ,0.0007%, , 
02_rank, , ,32, , , , ,60,119,121,76,78,108,105, ,109,69,32,28,48,59,65,26
03,148,"1,685",-15%,0%,1%,-84%,0.3,"-18,975",0.2,0.00%,6, ,4, ,-9.6700%,-9.4800%,4.3900%,117.4100%,-121.9900%, ,-0.0001%, , 
03_rank, , ,131, , , , ,50,142,144,87,113,100,109, ,131,4,1,148,61,78,113,48
04,131,"19,522",-3%,2%,5%,-66%,0.3,"-78,203",2.6,0.01%,4, ,6, ,-2.7500%,3.3500%,5.6600%,-6.3000%,-5.4700%, ,-0.0002%, , 
04_rank, , ,76, , , , ,45,97,97,111,121,67,77, ,31,2,120,121,104,55,67,45
05,157,"91,679",2%,12%,18%,-55%,0.6,"-226,610",12.1,0.00%,4, ,6, ,3.5900%,9.4500%,-1.0400%,-6.2700%,1.4600%, ,0.0001%, , 
05_rank, , ,29, , , , ,44,111,112,121,120,92,92, ,22,119,141,54,57,46,66,128
06, , , , , , , , , , , , , , , , , , , , , , , 
06_rank, , , , , , , , , , , , , , , , , , , , , , , 
07,152,"77,147",-21%,10%,10%,-40%,1.4,"-102,910",10.1,0.01%,3, ,3, ,-11.0700%,-9.3400%,-2.4400%,-2.8100%,3.5200%, ,-0.0017%, , 
07_rank, , ,138, , , , ,49,117,116,124,124,124,129, ,133,130,117,24,36,108,66,117
08,150,"32,207",8%,4%,11%,-71%,0.4,"-161,455",4.2,0.00%,14, ,7, ,10.7100%,18.2200%,0.4900%,-1.0800%,-6.9200%, ,0.0002%, , 
08_rank, , ,18, , , , ,37,101,98,91,96,77,74, ,19,45,101,125,7,49,55,20
09, , , , , , , , , , , , , , , , , , , , , , , 
09_rank, , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , 
10_rank, , , , , , , , , , , , , , , , , , , , , , , 
11,150,"52,047",-9%,7%,10%,-55%,0.3,"-127,725",6.8,0.00%,4, ,6, ,-7.1200%,-10.1100%,-9.1200%,-5.3000%,17.4100%, ,-0.0003%, , 
11_rank, , ,100, , , , ,37,93,89,103,102,67,69, ,119,140,135,5,6,96,42,111
12, , , , , , , , , , , , , , , , , , , , , , , 
12_rank, , , , , , , , , , , , , , , , , , , , , , , 
13,160,"118,311",4%,16%,3%,27%,0.4,"50,380",15.6,0.01%,4, ,5, ,4.1800%,-0.0100%,5.1200%,4.2500%,-5.1900%, ,0.0003%, , 
13_rank, , ,50, , , , ,32,91,91,133,138,88,91, ,88,5,10,138,28,50,37,1
14,165,"95,139",-16%,13%,14%,-43%,1.1,"-145,476",12.5,0.01%,1, ,3, ,-0.7900%,-7.6200%,1.9700%,-9.7600%,14.6300%, ,0.0000%, , 
14_rank, , ,102, , , , ,74,139,138,147,163,127,128, ,131,104,153,24,24,97,96,137
