,N,G1,G2,G3,G4,G5,G6,P1,P2,P3,P4a,P4b,P5a,P5b,C1,C1a,C1b,C1c,C1d,C2,A,P,C
01,177,"1,002,562",4%,40%,4%,62%,0.8,"773,795",24.2,0.14%,6, ,12, ,4.8500%,3.7500%,-0.4000%,-1.1300%,2.6300%, ,0.0054%, , 
01_rank, , ,62, , , , ,38,133,74,85,83,39,39, ,66,119,118,46,105,45,38,95
02,169,"374,320",0%,15%,9%,-12%,0.8,"-102,058",9.0,0.05%,16, ,5, ,0.6900%,9.0800%,-1.1700%,3.8600%,-11.0800%, ,0.0003%, , 
02_rank, , ,75, , , , ,74,125,93,44,45,115,110, ,26,116,25,156,23,69,64,27
03,148,"42,350",12%,1%,2%,-53%,2.0,"-98,275",1.0,0.01%,11, ,3, ,12.6900%,1.4200%,0.8800%,-2.3800%,12.7700%, ,0.0010%, , 
03_rank, , ,14, , , , ,72,126,100,47,45,118,122, ,49,58,130,6,74,44,76,117
04,131,"13,591",-8%,0%,3%,-83%,2.3,"-137,042",0.3,0.00%,16, ,4, ,-5.9000%,1.5300%,-1.6400%,-7.8900%,2.0900%, ,-0.0004%, , 
04_rank, , ,98, , , , ,60,121,104,46,51,85,94, ,42,92,125,38,37,61,101,118
05,157,"113,229",5%,4%,19%,-78%,0.8,"-818,223",2.7,0.01%,11, ,7, ,6.5300%,11.9800%,-0.6900%,-1.6900%,-3.0800%, ,0.0003%, , 
05_rank, , ,24, , , , ,90,130,105,66,66,80,82, ,20,107,93,136,50,40,111,137
06,127,"55,230",4%,2%,1%,-11%,0.9,"-14,411",1.3,0.03%,3, ,4, ,1.0400%,15.2600%,1.6500%,-10.3400%,-5.5400%, ,0.0003%, , 
06_rank, , ,34, , , , ,35,97,73,109,106,82,82, ,17,20,118,101,23,37,37,16
07,152,"168,957",-11%,6%,9%,-47%,1.7,"-309,274",4.1,0.01%,6, ,5, ,-5.1100%,5.7200%,-3.6000%,-1.7700%,-5.4600%, ,-0.0010%, , 
07_rank, , ,116, , , , ,76,127,100,101,97,92,99, ,36,140,100,127,50,99,82,42
08,150,"47,525",-7%,1%,7%,-77%,1.1,"-335,413",1.1,0.00%,34, ,8, ,-3.8800%,4.8900%,-1.0900%,-3.0600%,-4.6200%, ,-0.0002%, , 
08_rank, , ,99, , , , ,56,123,88,40,41,70,78, ,43,90,126,116,52,93,71,112
09,121,"24,595",-36%,0%,3%,-74%,0.3,"-147,186",0.6,0.00%,3, ,2, ,-16.6900%,-16.7300%,-3.5300%,1.2000%,2.3800%, ,-0.0022%, , 
09_rank, , ,116, , , , ,35,102,78,104,101,110,108, ,117,105,55,18,44,93,53,93
10,134,"10,106",0%,0%,3%,-88%,1.3,"-154,697",0.2,0.00%,12, ,6, ,-1.3000%,-2.1500%,0.2000%,0.2400%,0.4200%, ,0.0000%, , 
10_rank, , ,57, , , , ,56,121,110,49,50,68,77, ,89,38,53,54,61,52,97,46
11,150,"88,339",0%,3%,9%,-67%,1.9,"-364,870",2.1,0.01%,5, ,11, ,-0.0800%,56.6300%,-4.3100%,0.6800%,-53.0700%, ,0.0000%, , 
11_rank, , ,63, , , , ,61,112,83,89,87,25,32, ,18,116,65,135,13,64,62,114
12,127,"5,399",19%,0%,1%,-85%,3.2,"-61,777",0.1,0.00%,10, ,6, ,16.8700%,16.7000%,6.8600%,38.0500%,-44.7400%, ,0.0001%, , 
12_rank, , ,7, , , , ,57,120,114,87,89,52,78, ,10,5,1,127,71,42,96,112
13,160,"46,357",-4%,1%,5%,-69%,0.4,"-215,659",1.1,0.00%,19, ,8, ,-3.0500%,5.6800%,0.4000%,-8.9200%,-0.2100%, ,-0.0001%, , 
13_rank, , ,109, , , , ,77,133,104,51,52,54,73, ,43,74,150,80,128,99,90,42
14,165,"149,339",-2%,6%,17%,-70%,1.6,"-701,547",3.6,0.01%,2, ,2, ,15.8200%,92.7900%,2.4700%,1.2300%,-80.6600%, ,0.0007%, , 
14_rank, , ,31, , , , ,100,153,129,126,122,147,145, ,9,92,68,162,91,74,133,152
